[20170113064737.826]0x00000002: 20170113064737.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064738.823]0x00000002: 20170113064738.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064739.825]0x00000002: 20170113064739.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064740.824]0x00000002: 20170113064740.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064741.827]0x00000002: 20170113064741.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064742.824]0x00000002: 20170113064742.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064743.825]0x00000002: 20170113064743.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064744.824]0x00000002: 20170113064744.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064745.823]0x00000002: 20170113064745.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064746.825]0x00000002: 20170113064746.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064747.823]0x00000002: 20170113064747.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064748.825]0x00000002: 20170113064748.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064749.825]0x00000002: 20170113064749.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064750.825]0x00000002: 20170113064750.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064751.823]0x00000002: 20170113064751.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064752.825]0x00000002: 20170113064752.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064753.826]0x00000002: 20170113064753.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064754.825]0x00000002: 20170113064754.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064755.825]0x00000002: 20170113064755.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064756.825]0x00000002: 20170113064756.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064757.823]0x00000002: 20170113064757.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064758.822]0x00000002: 20170113064758.822, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064759.826]0x00000002: 20170113064759.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064800.823]0x00000002: 20170113064800.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064801.826]0x00000002: 20170113064801.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064802.823]0x00000002: 20170113064802.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064803.825]0x00000002: 20170113064803.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064804.823]0x00000002: 20170113064804.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064805.826]0x00000002: 20170113064805.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064806.823]0x00000002: 20170113064806.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064807.827]0x00000002: 20170113064807.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064808.823]0x00000002: 20170113064808.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064809.823]0x00000002: 20170113064809.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064810.823]0x00000002: 20170113064810.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064811.827]0x00000002: 20170113064811.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064812.823]0x00000002: 20170113064812.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064813.825]0x00000002: 20170113064813.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064814.823]0x00000002: 20170113064814.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064815.823]0x00000002: 20170113064815.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064816.825]0x00000002: 20170113064816.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064817.826]0x00000002: 20170113064817.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064818.825]0x00000002: 20170113064818.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064819.823]0x00000002: 20170113064819.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
